"No.","Object designation","Diameter in m","Impact date in UTC","IP max","PS max","TS","Years","IP cum","PS cum","Vel. in km/s","In list since in d"
"1","2023VD3","11 - 24*","2034-11-08","1/425","-2.67","0","2034-2039","1/425","-2.67","21.01","825"
"2","2008JL3","23 - 50*","2027-05-01","1/6711","-2.73","0","2027-2122","1/6211","-2.73","14.01","6328"
"3","1979XB","400 - 900*","2056-12-12","1/4.27E6","-2.82","0","2056-2113","1/1.36E6","-2.70","27.54","6328"
"4","2000SG344","27 - 60*","2071-09-16","1/1117","-3.18","0","2069-2122","1/354","-2.77","11.27","6328"
"5","2005QK76","27 - 60*","2030-02-26","1/33222","-3.39","0","2030-2108","1/15576","-3.26","22.66","6328"
"6","2007KE4","24 - 50*","2029-05-26","1/23419","-3.47","0","2026-2115","1/22883","-3.47","15.03","6328"
"7","2021GX9","24 - 50*","2032-04-16","1/19880","-3.49","0","2032","1/19880","-3.49","20.17","1762"
"8","2023DO","21 - 50*","2057-03-23","1/2044","-3.50","0","2057-2073","1/2000","-3.49","13.18","1081"
"9","2024RF10","8 - 18*","2092-09-07","1/155","-3.59","0","2092-2118","1/130","-3.51","14.21","519"
"10","2019VB37","30 - 80*","2049-04-26","1/17793","-3.65","0","2041-2088","1/17513","-3.65","18.34","1221"
"11","2016YM4","90 - 200*","2121-07-20","1/72463","-3.67","0","2121","1/72463","-3.67","22.03","3331"
"12","2011DU9","12 - 26*","2046-02-23","1/1466","-3.70","0","2046-2101","1/1455","-3.70","14.21","5410"
"13","2012QD8","70 - 150*","2047-03-08","1/170068","-3.71","0","2047-2120","1/165289","-3.70","23.58","4922"
"14","2024TK5","8 - 17*","2028-10-08","1/3436","-3.74","0","2028-2076","1/3436","-3.74","14.31","490"
"15","2020VV","10 - 22*","2050-10-11","1/497","-3.76","0","2044-2121","1/193","-3.43","11.47","1922"
"16","2018JD","13 - 29*","2067-05-08","1/787","-3.76","0","2067","1/564","-3.62","13.76","2837"
"17","2025BA1","8 - 18*","2032-01-15","1/3787","-3.82","0","2032-2082","1/3717","-3.82","17.43","385"
"18","2022UY14","26 - 60*","2043-04-28","1/32679","-3.90","0","2043","1/32679","-3.90","23.23","1199"
"19","2024JW16","170 - 400*","2116-12-09","1/1.08E6","-3.92","0","2050-2121","1/442477","-3.53","26.50","638"
"20","2013TP4","9 - 19*","2026-10-01","1/45248","-3.95","0","2026","1/45248","-3.95","27.66","4511"
"21","2014CR13","19 - 40*","2108-02-11","1/2747","-3.99","0","2102-2118","1/2652","-3.98","16.61","4381"
"22","2008FF5","60 - 140*","2060-03-27","1/518134","-4.02","0","2060-2064","1/518134","-4.02","41.02","6328"
"23","2021EU","23 - 50*","2056-08-29","1/22935","-4.02","0","2056-2123","1/19801","-3.97","23.98","1802"
"24","2006JY26","5 - 12*","2074-05-03","1/157","-4.04","0","2073-2120","1/146","-4.01","11.57","6328"
"25","2020VW","6 - 13*","2074-11-02","1/250","-4.05","0","2074-2093","1/128","-3.76","14.80","1922"
"26","2017WT28","6 - 14*","2104-11-24","1/147","-4.07","0","2083-2121","1/142","-4.06","12.04","2986"
"27","2021GE2","4 - 10*","2030-04-03","1/1483","-4.08","0","2030","1/1483","-4.08","18.99","1771"
