des,diameter,fullname,h,id,ip,last_obs,last_obs_jd,n_imp,ps_cum,ps_max,range,ts_max,v_inf
1979 XB,0.66,(1979 XB),18.54,bJ79X00B,8.515158e-07,1979-12-15,2444222.5,4,-2.69,-2.99,2056-2113,0,23.7606234552547
2022 KK2,0.0069,(2022 KK2),28.45,bK22K02K,0.0001203297828,2022-05-23,2459722.5,33,-5.59,-5.79,2060-2122,0,15.5694051293592
2000 SG344,0.037,(2000 SG344),24.79,bK00SY4G,0.002743395186,2000-10-03,2451820.5,300,-2.77,-3.11,2069-2122,0,1.35802744453748
2012 VS76,0.014,(2012 VS76),26.95,bK12V76S,1.9442009e-05,2012-11-16,2456247.5,15,-5.74,-6.05,2081-2120,0,11.4626328606267
2018 GN,0.02,(2018 GN),26.19,bK18G00N,3.772e-09,2018-04-09,2458217.5,1,-8.95,-8.95,2102-2102,0,20.20
2011 TO,0.018,(2011 TO),26.32,bK11T00O,2.937e-06,2013-01-12,2456304.5,1,-6.16,-6.16,2064-2064,0,8.55
2012 BA102,0.017,(2012 BA102),26.51,bK12BA2A,1.22522146e-05,2012-02-21,2455978.5,20,-6.03,-6.27,2103-2122,0,7.21203952320587
2014 HN197,0.35,(2014 HN197),19.92,bK14HJ7N,6.5351e-09,2014-04-27,2456774.5,12,-5.51,-5.99,2069-2118,0,21.9988508209515
2005 UL6,0.042,(2005 UL6),24.51,bK05U06L,9.90088e-08,2005-11-22,2453696.5,6,-6.70,-6.95,2068-2119,0,12.3834503195676
2009 DV,0.036,(2009 DV),24.86,bK09D00V,3.1018e-08,2009-02-24,2454886.5,2,-7.25,-7.38,2044-2102,0,22.0982648784577
2009 EH1,0.0091,(2009 EH1),27.85,bK09E01H,5.902e-10,2009-03-05,2454895.5,1,-10.57,-10.57,2068-2068,0,10.69
2021 LY1,0.008,(2021 LY1),28.13,bK21L01Y,8.724e-08,2021-06-12,2459377.5,1,-8.05,-8.05,2040-2040,0,11.47
2021 NM3,0.016,(2021 NM3),26.58,bK21N03M,5.329099e-06,2021-07-13,2459408.5,8,-6.41,-6.48,2111-2120,0,8.21159723247776
2018 XX2,0.021,(2018 XX2),26.02,bK18X02X,8.859e-08,2019-01-11,2458494.5,1,-7.75,-7.75,2106-2106,0,11.91
2019 GP21,0.0038,(2019 GP21),29.75,bK19G21P,3.96111598e-05,2019-04-04,2458577.5,74,-6.79,-7.35,2039-2122,0,10.8171734948038
2018 WA1,0.0034,(2018 WA1),30.01,bK18W01A,6.1740984e-05,2018-11-22,2458444.5,77,-7.08,-7.88,2085-2121,0,3.03482112870115
2019 KJ4,0.012,(2019 KJ4),27.24,bK19K04J,9.80658349999999e-05,2019-06-08,2458642.5,201,-5.38,-6.20,2059-2122,0,5.00834214719123
2005 CM7,0.02,(2005 CM7),26.17,bK05C07M,2.652e-09,2005-02-10,2453411.5,2,-9.12,-9.28,2090-2120,0,18.3491553544495
2017 QF3,0.00919,(2017 QF3),27.83,bK17Q03F,3.09793314e-05,2017-08-21,2457986.5,69,-5.63,-6.08,2043-2121,0,12.7508470140192
2019 NX5,0.0051,(2019 NX5),29.12,bK19N05X,7.76027876e-05,2019-07-11,2458675.5,121,-6.46,-6.79,2069-2122,0,1.79631891148714
2019 UB2,0.024,(2019 UB2),25.78,bK19U02B,1.754e-08,2019-11-04,2458791.5,1,-8.40,-8.40,2105-2105,0,9.85
2019 VD,0.011,(2019 VD),27.42,bK19V00D,4.283777e-06,2019-11-03,2458790.5,13,-6.74,-7.30,2087-2121,0,11.218679877594
2020 OR4,0.025,(2020 OR4),25.64,bK20O04R,8.213274e-06,2020-07-26,2459056.5,19,-5.29,-5.59,2093-2121,0,21.3694823063251
2021 RF16,0.00548,(2021 RF16),28.96,bK21R16F,0.00024180867,2021-09-14,2459471.5,6,-5.35,-5.46,2049-2054,0,8.44364514473364
2025 XJ1,0.025,(2025 XJ1),25.62,bK25X01J,3.4693657e-06,2025-12-22,2461031.5,8,-5.61,-5.89,2056-2114,0,15.3928795560526
2025 YS1,0.005,(2025 YS1),29.13,bK25Y01S,1.092e-07,2025-12-22,2461031.5,1,-9.33,-9.33,2125-2125,0,9.14
2025 XZ3,0.0058,(2025 XZ3),28.83,bK25X03Z,5.5049e-07,2025-12-18,2461027.5,4,-8.43,-8.65,2090-2115,0,8.56115460771313
2026 AC17,0.003,(2026 AC17),30.25,bK26A17C,1.46122e-06,2026-01-13,2461053.5,6,-8.59,-8.67,2083-2126,0,7.68001238690957
