des,name,diameter_m,diameter_estimated,vi_datetime_utc,ip_max,ps_max,ts,vel_km_s,years_range,ip_cum,ps_cum
2023VD3,,14.0,True,2034-11-08 17:08,0.00235,-2.67,0,21.01,2034-2039,0.00235,-2.67
2008JL3,,30.0,True,2027-05-01 09:05,0.000149,-2.73,0,14.01,2027-2122,0.000161,-2.73
1979XB,,500.0,True,2056-12-12 21:38,2.34e-07,-2.82,0,27.54,2056-2113,7.34e-07,-2.7
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,0,11.27,2069-2122,0.00282,-2.77
2005QK76,,40.0,True,2030-02-26 08:15,3.01e-05,-3.39,0,22.66,2030-2108,6.42e-05,-3.26
2007KE4,,30.0,True,2029-05-26 00:18,4.27e-05,-3.47,0,15.03,2026-2115,4.37e-05,-3.47
2021GX9,,30.0,True,2032-04-16 21:51,5.03e-05,-3.49,0,20.17,2032-2032,5.03e-05,-3.49
2023DO,,27.0,True,2057-03-23 19:43,0.000489,-3.5,0,13.18,2057-2073,0.0005,-3.49
2024RF10,,11.0,True,2092-09-07 12:39,0.00642,-3.59,0,14.21,2092-2118,0.00766,-3.51
2019VB37,,50.0,True,2049-04-26 01:30,5.62e-05,-3.65,0,18.34,2041-2088,5.71e-05,-3.65
2016YM4,,120.0,True,2121-07-20 19:20,1.38e-05,-3.67,0,22.03,2121-2121,1.38e-05,-3.67
2011DU9,,16.0,True,2046-02-23 20:44,0.000682,-3.7,0,14.21,2046-2101,0.000687,-3.7
2012QD8,,90.0,True,2047-03-08 23:22,5.88e-06,-3.71,0,23.58,2047-2120,6.05e-06,-3.7
2024TK5,,10.0,True,2028-10-08 18:02,0.000291,-3.74,0,14.31,2028-2076,0.000291,-3.74
2020VV,,13.0,True,2050-10-11 10:13,0.00201,-3.76,0,11.47,2044-2121,0.00518,-3.43
2018JD,,17.0,True,2067-05-08 13:21,0.00127,-3.76,0,13.76,2067-2067,0.00177,-3.62
2025BA1,,11.0,True,2032-01-15 18:00,0.000264,-3.82,0,17.43,2032-2082,0.000269,-3.82
2022UY14,,30.0,True,2043-04-28 22:24,3.06e-05,-3.9,0,23.23,2043-2043,3.06e-05,-3.9
2024JW16,,230.0,True,2116-12-09 08:38,9.24e-07,-3.92,0,26.5,2050-2121,2.26e-06,-3.53
2013TP4,,11.0,True,2026-10-01 07:48,2.21e-05,-3.95,0,27.66,2026-2026,2.21e-05,-3.95
2014CR13,,25.0,True,2108-02-11 19:52,0.000364,-3.99,0,16.61,2102-2118,0.000377,-3.98
2008FF5,,80.0,True,2060-03-27 18:06,1.93e-06,-4.02,0,41.02,2060-2064,1.93e-06,-4.02
2021EU,,30.0,True,2056-08-29 02:46,4.36e-05,-4.02,0,23.98,2056-2123,5.05e-05,-3.97
2006JY26,,7.0,True,2074-05-03 00:47,0.00633,-4.04,0,11.57,2073-2120,0.00684,-4.01
2020VW,,8.0,True,2074-11-02 20:49,0.00399,-4.05,0,14.8,2074-2093,0.0078,-3.76
2017WT28,,8.0,True,2104-11-24 16:31,0.0068,-4.07,0,12.04,2083-2121,0.00703,-4.06
2021GE2,,6.0,True,2030-04-03 11:57,0.000674,-4.08,0,18.99,2030-2030,0.000674,-4.08
2007DX40,,40.0,True,2056-08-18 05:16,2.66e-05,-4.09,0,19.11,2030-2119,6.86e-05,-3.7
2022NX1,,9.0,True,2075-12-04 18:11,0.00422,-4.1,0,11.18,2075-2122,0.00422,-4.1
2014GN1,,40.0,True,2061-09-16 20:13,2.03e-05,-4.1,0,23.99,2061-2061,2.03e-05,-4.1
2020UL3,,80.0,True,2124-11-14 15:27,2e-05,-4.13,0,15.13,2122-2124,2.4e-05,-4.05
2007VE8,,27.0,True,2062-11-06 02:54,0.00011,-4.14,0,14.39,2062-2062,0.00011,-4.14
2013VW13,,21.0,True,2080-11-08 16:20,0.000232,-4.14,0,19.81,2076-2097,0.00037,-3.94
2008UB7,,60.0,True,2060-10-31 18:27,9.2e-06,-4.15,0,21.57,2051-2106,4.6e-05,-3.51
2018TY4,,9.0,True,2033-10-05 16:21,0.000432,-4.18,0,15.45,2033-2033,0.000432,-4.18
2008EX5,,60.0,True,2083-10-09 17:02,2.32e-05,-4.19,0,14.94,2056-2090,3.09e-05,-4.04
2024FS5,,40.0,True,2026-08-25 04:46,6.92e-07,-4.2,0,26.73,2026-2026,6.92e-07,-4.2
2025NC,,10.0,True,2062-07-04 02:27,0.000995,-4.2,0,14.17,2062-2062,0.000995,-4.2
2025SQ4,,17.0,True,2104-09-19 15:03,0.000613,-4.21,0,14.19,2104-2122,0.000864,-4.07
2006DM63,,15.0,True,2031-02-24 05:54,5.78e-05,-4.21,0,15.25,2031-2116,0.00014,-3.97
2020KD3,,19.0,True,2083-05-26 21:12,0.000475,-4.22,0,13.71,2083-2105,0.000483,-4.21
2024YR4,,60.0,False,2047-12-22 01:14,7.97e-06,-4.22,0,17.11,2047-2047,8e-06,-4.22
2025DT2,,16.0,True,2044-02-26 10:02,0.000157,-4.22,0,14.83,2044-2051,0.000157,-4.22
2022SX55,,3.0,True,2035-09-17 19:56,0.00422,-4.23,0,16.44,2035-2045,0.00424,-4.23
2018DQ,,5.0,True,2027-02-21 16:52,0.000123,-4.24,0,23.67,2027-2121,0.000192,-4.22
2020CQ1,,6.0,True,2070-02-03 04:33,0.00446,-4.25,0,12.2,2070-2119,0.00451,-4.25
2020OB,,70.0,True,2116-07-23 09:37,9.56e-06,-4.29,0,27.79,2114-2121,1.88e-05,-3.99
2022AT2,,15.0,True,2080-01-14 08:33,0.000722,-4.29,0,12.9,2080-2080,0.000722,-4.29
2014ML67,,60.0,True,2027-07-03 19:46,5.03e-07,-4.29,0,24.13,2027-2027,5.03e-07,-4.29
2025SK22,,20.0,True,2076-09-21 01:03,0.000237,-4.29,0,14.22,2076-2125,0.000248,-4.27
2015YJ,,7.0,True,2059-12-14 08:15,0.000971,-4.3,0,19.8,2042-2122,0.00159,-4.07
2009BE,,21.0,True,2083-01-25 02:21,0.000189,-4.33,0,16.01,2045-2122,0.00038,-4.03
2022YS6,,15.0,True,2066-01-03 06:26,0.000304,-4.34,0,15.03,2065-2075,0.000309,-4.33
2010UK,,15.0,True,2068-10-15 10:39,0.000422,-4.38,0,12.73,2068-2121,0.000448,-4.36
2021AM6,,18.0,True,2070-01-05 02:26,0.00031,-4.42,0,12.34,2064-2120,0.000655,-4.09
2020MJ,,30.0,True,2102-06-12 10:45,5.74e-05,-4.42,0,20.39,2091-2107,8.61e-05,-4.24
2016WG,,80.0,True,2076-06-23 07:10,2.64e-06,-4.44,0,26.11,2076-2102,6.17e-06,-4.08
2007FT3,,300.0,True,2046-10-03 12:14,4.17e-08,-4.46,0,20.19,2046-2118,1.07e-07,-4.27
