des_chr,des_num,event_id,ip_NASA,ip_ESA,v_inf
1950DA,29075,1950DA_2880-03-16,0.000377,,14.1
1979XB,,1979XB_2056-12-12,1.915e-07,2.34e-07,23.7606234552547
1979XB,,1979XB_2065-12-16,,2.72e-09,
1979XB,,1979XB_2086-12-16,1.067e-07,,23.7606234552547
1979XB,,1979XB_2101-12-14,,3.46e-09,
1979XB,,1979XB_2102-12-16,1.158e-10,,23.7606234552547
1979XB,,1979XB_2113-12-14,5.532e-07,4.94e-07,23.7606234552547
1991BA,,1991BA_2026-01-17,,2.55e-09,
1991BA,,1991BA_2027-01-19,2.107e-09,3.45e-09,16.7227981196217
1991BA,,1991BA_2032-01-19,6.523e-07,6.15e-07,16.7227981196217
1991BA,,1991BA_2034-01-20,8.263e-09,,16.7227981196217
1991BA,,1991BA_2036-01-19,6.389e-08,7.48e-08,16.7227981196217
1991BA,,1991BA_2038-01-18,,4.72e-10,
1991BA,,1991BA_2039-01-19,5.502e-09,,16.7227981196217
1991BA,,1991BA_2041-01-18,,1.45e-08,
1991BA,,1991BA_2042-01-18,,2.13e-08,
1991BA,,1991BA_2044-01-20,5.658090000000001e-07,1.05e-06,16.7227981196217
1991BA,,1991BA_2048-01-19,9.744999999999999e-08,1.46e-10,16.7227981196217
1991BA,,1991BA_2050-01-19,4.105e-09,,16.7227981196217
1991BA,,1991BA_2051-01-18,2.354e-08,,16.7227981196217
1991BA,,1991BA_2052-01-19,1.549e-07,1.63e-07,16.7227981196217
1991BA,,1991BA_2053-01-18,1.507e-07,1.81e-07,16.7227981196217
1991BA,,1991BA_2054-01-19,1.676e-09,,16.7227981196217
1991BA,,1991BA_2055-01-19,1.513e-08,,16.7227981196217
1991BA,,1991BA_2056-01-19,,4.43e-09,
1991BA,,1991BA_2059-01-20,3.7078e-09,,16.7227981196217
1991BA,,1991BA_2061-01-19,1.981e-07,2.09e-07,16.7227981196217
1991BA,,1991BA_2066-01-19,2.003e-08,1.17e-09,16.7227981196217
1991BA,,1991BA_2068-01-20,1.043e-08,,16.7227981196217
1991BA,,1991BA_2069-01-19,1.174e-08,,16.7227981196217
1991BA,,1991BA_2070-01-18,2.6657000000000004e-07,,16.7227981196217
1991BA,,1991BA_2071-01-19,8.762e-09,,16.7227981196217
1991BA,,1991BA_2072-01-20,1.751e-09,,16.7227981196217
1991BA,,1991BA_2073-01-19,1.815e-07,1.5e-08,16.7227981196217
1991BA,,1991BA_2075-01-19,1.361548e-07,1.85e-09,16.7227981196217
1991BA,,1991BA_2077-01-19,1.1590599999999999e-07,4.46e-09,16.7227981196217
1991BA,,1991BA_2077-06-21,5.375e-09,,16.7227981196217
1991BA,,1991BA_2078-01-19,6.633e-08,1.594e-06,16.7227981196217
1991BA,,1991BA_2084-01-20,1.049e-07,,16.7227981196217
1991BA,,1991BA_2089-01-19,2.333e-08,1.94e-08,16.7227981196217
1991BA,,1991BA_2090-01-19,,6.48e-09,
1991BA,,1991BA_2091-01-19,,4.68e-10,
1991BA,,1991BA_2094-01-19,4.397e-08,2.58e-08,16.7227981196217
1991BA,,1991BA_2097-01-19,4.551e-09,,16.7227981196217
1991BA,,1991BA_2098-01-19,1.175e-07,9.19e-09,16.7227981196217
1991BA,,1991BA_2100-01-20,,6.78e-08,
1991BA,,1991BA_2103-01-21,2.395e-08,,16.7227981196217
1991BA,,1991BA_2106-01-01,2.661e-09,5.04e-11,16.7227981196217
1991BA,,1991BA_2114-01-19,1.048e-06,1.16e-06,16.7227981196217
1991BA,,1991BA_2115-01-21,4.244e-08,4.324e-08,16.7227981196217
1993HP1,,1993HP1_2065-04-26,1.142e-08,2.24e-07,9.73497672753312
1993HP1,,1993HP1_2089-04-26,,1.75e-10,
1993HP1,,1993HP1_2112-04-27,4.444e-08,,9.73497672753312
1993KA2,,1993KA2_2060-11-10,4.177e-08,3.52e-08,23.2
1993UA,,1993UA_2111-10-21,8.45533e-07,5.04e-07,9.39599346211206
1994GK,,1994GK_2044-04-03,,1.15e-08,
1994GK,,1994GK_2050-04-04,8.719e-09,,14.8816515450186
1994GK,,1994GK_2054-04-03,5.394e-09,,14.8816515450186
1994GK,,1994GK_2059-04-04,8.48e-09,,14.8816515450186
1994GK,,1994GK_2061-04-03,1.589869e-05,5.17e-06,14.8816515450186
1994GK,,1994GK_2064-04-03,1.40303e-07,,14.8816515450186
1994GK,,1994GK_2067-04-04,5.098e-07,3.44e-07,14.8816515450186
1994GK,,1994GK_2073-04-03,,4.96e-09,
1994GV,,1994GV_2036-04-10,7.357e-07,,8.0873507246722
1994GV,,1994GV_2039-04-11,4.78651e-06,1.19e-09,8.0873507246722
1994GV,,1994GV_2045-04-15,3.67e-08,,8.0873507246722
1994GV,,1994GV_2048-04-09,9.1505e-06,1.24e-05,8.0873507246722
1994GV,,1994GV_2051-04-11,4.6671e-07,1.23e-05,8.0873507246722
1994GV,,1994GV_2053-04-10,9.851e-08,,8.0873507246722
1994GV,,1994GV_2056-04-09,7.8477e-06,6.945e-07,8.0873507246722
1994GV,,1994GV_2057-04-16,3.511e-08,,8.0873507246722
1994GV,,1994GV_2060-04-09,4.79e-07,,8.0873507246722
1994GV,,1994GV_2062-04-10,4.0696000000000004e-07,,8.0873507246722
1994GV,,1994GV_2063-04-10,1.833e-08,3.04e-08,8.0873507246722
