n_imp,fullname,des,v_inf,ps_max,ip,range,ts_max,diameter,h,last_obs_jd,ps_cum,id,last_obs
4,(1979 XB),1979 XB,23.7606234552547,-2.99,8.515158e-07,2056-2113,0,0.66,18.54,2444222.5,-2.69,bJ79X00B,1979-12-15
33,(2022 KK2),2022 KK2,15.5694051293592,-5.79,0.0001203297828,2060-2122,0,0.0069,28.45,2459722.5,-5.59,bK22K02K,2022-05-23
300,(2000 SG344),2000 SG344,1.35802744453748,-3.11,0.002743395186,2069-2122,0,0.037,24.79,2451820.5,-2.77,bK00SY4G,2000-10-03
15,(2012 VS76),2012 VS76,11.4626328606267,-6.05,1.9442009e-05,2081-2120,0,0.014,26.95,2456247.5,-5.74,bK12V76S,2012-11-16
1,(2018 GN),2018 GN,20.20,-8.95,3.772e-09,2102-2102,0,0.02,26.19,2458217.5,-8.95,bK18G00N,2018-04-09
1,(2011 TO),2011 TO,8.55,-6.16,2.937e-06,2064-2064,0,0.018,26.32,2456304.5,-6.16,bK11T00O,2013-01-12
20,(2012 BA102),2012 BA102,7.21203952320587,-6.27,1.22522146e-05,2103-2122,0,0.017,26.51,2455978.5,-6.03,bK12BA2A,2012-02-21
12,(2014 HN197),2014 HN197,21.9988508209515,-5.99,6.5351e-09,2069-2118,0,0.35,19.92,2456774.5,-5.51,bK14HJ7N,2014-04-27
6,(2005 UL6),2005 UL6,12.3834503195676,-6.95,9.90088e-08,2068-2119,0,0.042,24.51,2453696.5,-6.70,bK05U06L,2005-11-22
2,(2009 DV),2009 DV,22.0982648784577,-7.38,3.1018e-08,2044-2102,0,0.036,24.86,2454886.5,-7.25,bK09D00V,2009-02-24
1,(2009 EH1),2009 EH1,10.69,-10.57,5.902e-10,2068-2068,0,0.0091,27.85,2454895.5,-10.57,bK09E01H,2009-03-05
1,(2021 LY1),2021 LY1,11.47,-8.05,8.724e-08,2040-2040,0,0.008,28.13,2459377.5,-8.05,bK21L01Y,2021-06-12
8,(2021 NM3),2021 NM3,8.21159723247776,-6.48,5.329099e-06,2111-2120,0,0.016,26.58,2459408.5,-6.41,bK21N03M,2021-07-13
1,(2018 XX2),2018 XX2,11.91,-7.75,8.859e-08,2106-2106,0,0.021,26.02,2458494.5,-7.75,bK18X02X,2019-01-11
74,(2019 GP21),2019 GP21,10.8171734948038,-7.35,3.96111598e-05,2039-2122,0,0.0038,29.75,2458577.5,-6.79,bK19G21P,2019-04-04
77,(2018 WA1),2018 WA1,3.03482112870115,-7.88,6.1740984e-05,2085-2121,0,0.0034,30.01,2458444.5,-7.08,bK18W01A,2018-11-22
201,(2019 KJ4),2019 KJ4,5.00834214719123,-6.20,9.80658349999999e-05,2059-2122,0,0.012,27.24,2458642.5,-5.38,bK19K04J,2019-06-08
2,(2005 CM7),2005 CM7,18.3491553544495,-9.28,2.652e-09,2090-2120,0,0.02,26.17,2453411.5,-9.12,bK05C07M,2005-02-10
69,(2017 QF3),2017 QF3,12.7508470140192,-6.08,3.09793314e-05,2043-2121,0,0.00919,27.83,2457986.5,-5.63,bK17Q03F,2017-08-21
121,(2019 NX5),2019 NX5,1.79631891148714,-6.79,7.76027876e-05,2069-2122,0,0.0051,29.12,2458675.5,-6.46,bK19N05X,2019-07-11
1,(2019 UB2),2019 UB2,9.85,-8.40,1.754e-08,2105-2105,0,0.024,25.78,2458791.5,-8.40,bK19U02B,2019-11-04
13,(2019 VD),2019 VD,11.218679877594,-7.30,4.283777e-06,2087-2121,0,0.011,27.42,2458790.5,-6.74,bK19V00D,2019-11-03
19,(2020 OR4),2020 OR4,21.3694823063251,-5.59,8.213274e-06,2093-2121,0,0.025,25.64,2459056.5,-5.29,bK20O04R,2020-07-26
6,(2021 RF16),2021 RF16,8.44364514473364,-5.46,0.00024180867,2049-2054,0,0.00548,28.96,2459471.5,-5.35,bK21R16F,2021-09-14
8,(2025 XJ1),2025 XJ1,15.3928795560526,-5.89,3.4693657e-06,2056-2114,0,0.025,25.62,2461031.5,-5.61,bK25X01J,2025-12-22
1,(2025 YS1),2025 YS1,9.14,-9.33,1.092e-07,2125-2125,0,0.005,29.13,2461031.5,-9.33,bK25Y01S,2025-12-22
4,(2025 XZ3),2025 XZ3,8.56115460771313,-8.65,5.5049e-07,2090-2115,0,0.0058,28.83,2461027.5,-8.43,bK25X03Z,2025-12-18
6,(2026 AC17),2026 AC17,7.68001238690957,-8.67,1.46122e-06,2083-2126,0,0.003,30.25,2461053.5,-8.59,bK26A17C,2026-01-13
24,(2025 VX),2025 VX,6.3171881246876,-5.84,3.22407653e-05,2074-2123,0,0.013,27.07,2460988.5,-5.79,bK25V00X,2025-11-09
6,(2016 EM156),2016 EM156,8.80973847928333,-6.02,5.856515e-05,2108-2116,0,0.0087,27.94,2457464.5,-6.00,bK16EF6M,2016-03-17
2,(2013 NH6),2013 NH6,21.7442111988848,-6.13,8.608e-08,2060-2060,0,0.073,23.35,2456489.5,-5.84,bK13N06H,2013-07-16
