fullname,des,ip,sigma_vi,ps,energy,sigma_mc,method,id,date,ts
(2009 ST171),2009 ST171,1.118e-06,3.3702,-6.81,1.111e-01,,IOBS,bK09SH1T,2066-09-30.09,0
(2001 SD286),2001 SD286,6.222e-08,2.2077,-7.34,1.255e+00,,IOBS,bK01SS6D,2080-09-23.22,0
(2018 LF4),2018 LF4,3.597e-08,2.1886,-7.34,4.037e+00,,IOBS,bK18L04F,2106-05-18.75,0
(2018 PZ21),2018 PZ21,6.519e-08,1.1330,-8.44,1.018e-01,,IOBS,bK18P21Z,2122-07-29.55,0
(2018 PZ21),2018 PZ21,4.085e-08,1.1641,-8.64,1.018e-01,,IOBS,bK18P21Z,2120-07-28.93,0
(2018 RB2),2018 RB2,8.468e-08,0.9613,-8.52,5.637e-02,,IOBS,bK18R02B,2119-09-06.79,0
(2018 RB2),2018 RB2,1.658e-07,1.5703,-8.23,5.618e-02,,IOBS,bK18R02B,2119-09-06.80,0
(2018 TB),2018 TB,1.330e-06,1.6833,-6.08,1.630e+00,,IOBS,bK18T00B,2103-10-08.51,0
(2018 LS5),2018 LS5,2.728e-08,0.6169,-8.65,1.276e-01,,IOBS,bK18L05S,2104-06-30.68,0
(2018 LS5),2018 LS5,5.010e-09,0.9987,-9.32,1.288e-01,,IOBS,bK18L05S,2093-08-01.10,0
(2014 WR362),2014 WR362,5.454e-08,0.2941,-8.38,7.107e-02,,IOBS,bK14Wa2R,2078-11-21.31,0
(2015 BW516),2015 BW516,5.348e-10,1.1749,-10.80,4.106e-02,,IOBS,bK15Bp6W,2114-01-29.86,0
(2016 JS5),2016 JS5,4.525e-08,1.1002,-10.19,1.054e-03,,IOBS,bK16J05S,2121-05-04.39,0
(2016 NC56),2016 NC56,2.686e-09,1.8946,-9.76,1.131e-01,,IOBS,bK16N56C,2115-07-07.86,0
(2017 BG92),2017 BG92,3.070e-09,1.2104,-10.78,5.419e-03,,IOBS,bK17B92G,2120-01-19.01,0
(2017 BG92),2017 BG92,4.214e-07,1.0283,-8.63,5.422e-03,,IOBS,bK17B92G,2118-01-22.53,0
(2017 BG92),2017 BG92,2.437e-07,1.2712,-8.86,5.421e-03,,IOBS,bK17B92G,2117-01-19.07,0
(2021 AS2),2021 AS2,8.210e-09,0.8513,-9.74,9.630e-03,,IOBS,bK21A02S,2063-01-10.05,0
(2022 WR4),2022 WR4,3.811e-07,0.4736,-9.18,1.297e-03,,IOBS,bK22W04R,2119-11-23.43,0
(2020 TG6),2020 TG6,3.071e-08,1.2041,-8.72,1.061e-02,,IOBS,bK20T06G,2039-10-19.01,0
(2023 TV3),2023 TV3,9.678e-08,1.0082,-7.72,4.412e-02,,IOBS,bK23T03V,2039-10-12.43,0
(2024 RE16),2024 RE16,4.962e-07,1.5032,-6.68,1.889e-01,,IOBS,bK24R16E,2046-09-08.86,0
(2018 WA3),2018 WA3,6.267e-07,3.5547,-7.22,4.713e-02,,IOBS,bK18W03A,2055-11-28.81,0
(2016 GM2),2016 GM2,3.108e-08,0.2739,-7.96,1.020e+00,,IOBS,bK16G02M,2121-04-28.66,0
