des_chr,des_num,des,name,date_start,date_end,cum_ip
1979XB,,1979XB,,2056-12-12,2056-12-12,2.34e-07
1979XB,,1979XB,,2065-12-16,2065-12-16,2.72e-09
1979XB,,1979XB,,2101-12-14,2101-12-14,3.46e-09
1979XB,,1979XB,,2113-12-14,2113-12-14,4.94e-07
1991BA,,1991BA,,2075-01-20,2075-01-20,1.85e-09
1991BA,,1991BA,,2077-01-19,2077-01-19,4.46e-09
1991BA,,1991BA,,2078-01-19,2078-01-19,1.594e-06
1991BA,,1991BA,,2089-01-19,2089-01-19,1.94e-08
1991BA,,1991BA,,2091-01-19,2091-01-19,4.68e-10
1991BA,,1991BA,,2098-01-19,2098-01-19,9.19e-09
1991BA,,1991BA,,2073-01-19,2073-01-19,1.5e-08
1991BA,,1991BA,,2100-01-20,2100-01-20,6.78e-08
1991BA,,1991BA,,2106-01-01,2106-01-01,5.04e-11
1991BA,,1991BA,,2114-01-19,2114-01-19,1.16e-06
1991BA,,1991BA,,2115-01-21,2115-01-21,4.324e-08
1991BA,,1991BA,,2094-01-19,2094-01-19,2.58e-08
1991BA,,1991BA,,2066-01-19,2066-01-19,1.17e-09
1991BA,,1991BA,,2090-01-19,2090-01-19,6.48e-09
1991BA,,1991BA,,2056-01-19,2056-01-19,4.43e-09
1991BA,,1991BA,,2053-01-18,2053-01-18,1.81e-07
1991BA,,1991BA,,2052-01-19,2052-01-19,1.63e-07
1991BA,,1991BA,,2048-01-19,2048-01-19,1.46e-10
1991BA,,1991BA,,2044-01-20,2044-01-20,1.05e-06
1991BA,,1991BA,,2061-01-19,2061-01-19,2.09e-07
1991BA,,1991BA,,2042-01-18,2042-01-18,2.13e-08
1991BA,,1991BA,,2041-01-18,2041-01-18,1.45e-08
1991BA,,1991BA,,2038-01-18,2038-01-18,4.72e-10
1991BA,,1991BA,,2036-01-19,2036-01-19,7.48e-08
1991BA,,1991BA,,2032-01-19,2032-01-19,6.15e-07
1991BA,,1991BA,,2027-01-19,2027-01-19,3.45e-09
1991BA,,1991BA,,2026-01-17,2026-01-17,2.55e-09
1993HP1,,1993HP1,,2089-04-26,2089-04-26,1.75e-10
1993HP1,,1993HP1,,2065-04-26,2065-04-26,2.24e-07
1993KA2,,1993KA2,,2060-11-10,2060-11-10,3.52e-08
1993UA,,1993UA,,2111-10-21,2111-10-21,5.04e-07
1994GK,,1994GK,,2044-04-03,2044-04-03,1.15e-08
1994GK,,1994GK,,2061-04-03,2061-04-03,5.17e-06
1994GK,,1994GK,,2067-04-04,2067-04-04,3.44e-07
1994GK,,1994GK,,2073-04-03,2073-04-03,4.96e-09
1994GV,,1994GV,,2091-04-11,2091-04-11,1.23e-08
1994GV,,1994GV,,2122-04-12,2122-04-12,1.923919e-05
